ingredient,form,old_bio_score,new_bio_score,delta,old_tier,new_tier,products_using_this_form,prior_evidence_reference,absorption_claim_being_withdrawn,downgrade_reason,clinician_verdict_(11_ok / raise_to / lower_to),clinician_notes
ceramides,phytoceramides (plant),12,11,-1,Excellent,Good,0,inline PMID/DOI,low (<5%); intact ceramide hydrolyzed to sphingoid bases pre-absorption,"No exact-form, exact-strain, or reviewed class-equivalence source met the Excellent evidence contract.",,
citrus_bergamot,bergamot (unspecified),12,11,-1,Excellent,Good,0,NONE,low (citrus flavonoid class-poor),"No exact-form, exact-strain, or reviewed class-equivalence source met the Excellent evidence contract.",,
citrus_bergamot,bergamot standardized extract,12,11,-1,Excellent,Good,0,audit-trail pointer only,standardized bergamot flavonoids; class-poor F per Batch 19,"No exact-form, exact-strain, or reviewed class-equivalence source met the Excellent evidence contract.",,
creatine_monohydrate,dicreatine malate,12,11,-1,Excellent,Good,0,inline PMID/DOI,no human PK; theoretical F equivalent via salt dissociation,"No exact-form, exact-strain, or reviewed class-equivalence source met the Excellent evidence contract.",,
digestive_enzymes,enteric-coated enzymes,12,11,-1,Excellent,Good,0,NONE,category_error (local action; activity-units metric),"No exact-form, exact-strain, or reviewed class-equivalence source met the Excellent evidence contract.",,
ergothioneine,l-ergothioneine,12,11,-1,Excellent,Good,0,NONE,high (active OCTN1-mediated uptake; low urinary excretion; no formal bioavailability measurement),"No exact-form, exact-strain, or reviewed class-equivalence source met the Excellent evidence contract.",,
fenugreek,fenugreek standardized extract,12,11,-1,Excellent,Good,0,inline PMID/DOI,concentrated saponins still poor F (~1-5%); deglycosylation in gut needed,"No exact-form, exact-strain, or reviewed class-equivalence source met the Excellent evidence contract.",,
fenugreek,testosurge extract,12,11,-1,Excellent,Good,0,inline PMID/DOI,branded saponin extract; no PK data; class F ~1-5%,"No exact-form, exact-strain, or reviewed class-equivalence source met the Excellent evidence contract.",,
garlic,aged garlic extract,12,11,-1,Excellent,Good,0,inline PMID/DOI,very good (~70–80%),"No exact-form, exact-strain, or reviewed class-equivalence source met the Excellent evidence contract.",,
hemp_seed_oil,cold-pressed,12,11,-1,Excellent,Good,0,inline PMID/DOI,same TG profile as organic; F equivalent ~80-95%,"No exact-form, exact-strain, or reviewed class-equivalence source met the Excellent evidence contract.",,
lactobacillus_acidophilus,lactobacillus acidophilus (unspecified),12,11,-1,Excellent,Good,0,NONE,low (live organism class; B18 framework),"No exact-form, exact-strain, or reviewed class-equivalence source met the Excellent evidence contract.",,
lactobacillus_acidophilus,lactobacillus acidophilus la-02,12,11,-1,Excellent,Good,0,NONE,very good,"No exact-form, exact-strain, or reviewed class-equivalence source met the Excellent evidence contract.",,
lactobacillus_helveticus,lactobacillus helveticus (unspecified),12,11,-1,Excellent,Good,0,NONE,good,"No exact-form, exact-strain, or reviewed class-equivalence source met the Excellent evidence contract.",,
lactobacillus_rhamnosus,lactobacillus rhamnosus lr-04,12,11,-1,Excellent,Good,0,NONE,very good,"No exact-form, exact-strain, or reviewed class-equivalence source met the Excellent evidence contract.",,
magnesium,magnesium citrate-malate,12,11,-1,Excellent,Good,0,inline PMID/DOI,"mixed citrate-malate salt; likely good, evidence thinner than citrate alone","No exact-form, exact-strain, or reviewed class-equivalence source met the Excellent evidence contract.",,
molybdenum,molybdenum picolinate,12,11,-1,Excellent,Good,0,inline PMID/DOI,"no dedicated PK; class F 88-93%, picolinate offers no Mo advantage","No exact-form, exact-strain, or reviewed class-equivalence source met the Excellent evidence contract.",,
mullein,standardized mullein (verbascoside),12,11,-1,Excellent,Good,0,inline PMID/DOI,low (verbascoside P-gp/BCRP/MRP2 efflux substrate),"No exact-form, exact-strain, or reviewed class-equivalence source met the Excellent evidence contract.",,
nad_precursors,nicotinamide riboside (NR),12,11,-1,Excellent,Good,0,inline PMID/DOI,moderate-good (effectively doubles NAD+; most converted to NA by gut microbiota),"No exact-form, exact-strain, or reviewed class-equivalence source met the Excellent evidence contract.",,
nmn,beta-nicotinamide mononucleotide,12,11,-1,Excellent,Good,0,NONE,Variable,"No exact-form, exact-strain, or reviewed class-equivalence source met the Excellent evidence contract.",,
nmn,nicotinamide mononucleotide (unspecified),12,11,-1,Excellent,Good,0,NONE,unknown,"No exact-form, exact-strain, or reviewed class-equivalence source met the Excellent evidence contract.",,
oregano,oregano (unspecified),12,11,-1,Excellent,Good,0,NONE,good (carvacrol + thymol class baseline),"No exact-form, exact-strain, or reviewed class-equivalence source met the Excellent evidence contract.",,
organ_extracts,freeze-dried,12,11,-1,Excellent,Good,0,inline PMID/DOI,composite food; lyophilization preserves heat-sensitive nutrients vs heat drying,"No exact-form, exact-strain, or reviewed class-equivalence source met the Excellent evidence contract.",,
paba,paba (para-aminobenzoic acid) (unspecified),12,11,-1,Excellent,Good,0,NONE,unknown,"No exact-form, exact-strain, or reviewed class-equivalence source met the Excellent evidence contract.",,
phosphatidylserine,bovine phosphatidylserine,12,11,-1,Excellent,Good,0,NONE,good to excellent (well-absorbed; crosses BBB),"No exact-form, exact-strain, or reviewed class-equivalence source met the Excellent evidence contract.",,
phosphatidylserine,liposomal phosphatidylserine,12,11,-1,Excellent,Good,0,NONE,good to excellent — no PK study showing liposomal advantage for PS,"No exact-form, exact-strain, or reviewed class-equivalence source met the Excellent evidence contract.",,
phosphatidylserine,sharp-ps gold (PS-DHA conjugate),12,11,-1,Excellent,Good,0,audit-trail pointer only,PS-DHA conjugate; DHA carrier may aid lipid absorption; PS still hydrolyzed,"No exact-form, exact-strain, or reviewed class-equivalence source met the Excellent evidence contract.",,
prebiotics,fructooligosaccharides (FOS),12,11,-1,Excellent,Good,0,NONE,excellent fermentation,"No exact-form, exact-strain, or reviewed class-equivalence source met the Excellent evidence contract.",,
prebiotics,galactooligosaccharides (GOS),12,11,-1,Excellent,Good,0,NONE,excellent fermentation,"No exact-form, exact-strain, or reviewed class-equivalence source met the Excellent evidence contract.",,
probiotics,freeze-dried with prebiotics,12,11,-1,Excellent,Good,0,NONE,good,"No exact-form, exact-strain, or reviewed class-equivalence source met the Excellent evidence contract.",,
probiotics,liquid probiotics,12,11,-1,Excellent,Good,0,NONE,good (rapid uptake),"No exact-form, exact-strain, or reviewed class-equivalence source met the Excellent evidence contract.",,
sea_buckthorn,sea buckthorn berry oil,12,11,-1,Excellent,Good,0,inline PMID/DOI,palmitoleic-rich oil; plasma 16:1n-7 unchanged at 5g/d (Johansson 2000),"No exact-form, exact-strain, or reviewed class-equivalence source met the Excellent evidence contract.",,
selenium,selenocysteine,12,11,-1,Excellent,Good,0,inline PMID/DOI,"organic Se; high F, channels into selenoprotein synthesis","No exact-form, exact-strain, or reviewed class-equivalence source met the Excellent evidence contract.",,
shilajit,purified shilajit extract,12,11,-1,Excellent,Good,0,inline PMID/DOI,purified extract; class-equivalent to PrimaVie; no human PK,"No exact-form, exact-strain, or reviewed class-equivalence source met the Excellent evidence contract.",,
silk_amino_acids,silk peptides,12,11,-1,Excellent,Good,0,inline PMID/DOI,"high (~95% as amino acids); ""peptide"" marketing — no human PK advantage vs hydrolysate","No exact-form, exact-strain, or reviewed class-equivalence source met the Excellent evidence contract.",,
slippery_elm,inner bark powder,12,11,-1,Excellent,Good,0,NONE,category_error (mucilage demulcent; not systemic),"No exact-form, exact-strain, or reviewed class-equivalence source met the Excellent evidence contract.",,
taurine,liposomal taurine,12,11,-1,Excellent,Good,0,NONE,very good,"No exact-form, exact-strain, or reviewed class-equivalence source met the Excellent evidence contract.",,
tuna_oil,tuna oil triglyceride,12,11,-1,Excellent,Good,0,inline PMID/DOI,tuna TG: same fish-TG class chemistry; species variant only,"No exact-form, exact-strain, or reviewed class-equivalence source met the Excellent evidence contract.",,
vitamin_a,liposomal vitamin A,12,11,-1,Excellent,Good,0,NONE,very high (mechanistic); efficient enterocyte uptake via lipid bilayer,"No exact-form, exact-strain, or reviewed class-equivalence source met the Excellent evidence contract.",,
vitamin_a,micellized vitamin A,12,11,-1,Excellent,Good,0,NONE,"very high; micellar dispersion bypasses fat-dependence, ~70-90% absorption efficiency","No exact-form, exact-strain, or reviewed class-equivalence source met the Excellent evidence contract.",,
vitamin_b12_cobalamin,methylcobalamin sublingual,12,11,-1,Excellent,Good,0,inline PMID/DOI,sublingual; bypasses IF — ~10-40% absorbed at 1000 mcg via oral mucosa,"No exact-form, exact-strain, or reviewed class-equivalence source met the Excellent evidence contract.",,
vitamin_b5_pantothenic,calcium pantothenate,12,11,-1,Excellent,Good,0,inline PMID/DOI,saturable SMVT transport; F ~40-60% at supplement doses,"No exact-form, exact-strain, or reviewed class-equivalence source met the Excellent evidence contract.",,
vitamin_b9_folate,calcium folinate,12,11,-1,Excellent,Good,0,inline PMID/DOI,reduced folate; bypasses DHFR; F similar to 5-MTHF,"No exact-form, exact-strain, or reviewed class-equivalence source met the Excellent evidence contract.",,
vitamin_c,vitamin C with bioflavonoids,12,11,-1,Excellent,Good,0,NONE,75%,"No exact-form, exact-strain, or reviewed class-equivalence source met the Excellent evidence contract.",,
vitamin_d,liposomal D3,12,11,-1,Excellent,Good,0,NONE,liposomal carrier; claims of enhanced uptake — limited human PK data,"No exact-form, exact-strain, or reviewed class-equivalence source met the Excellent evidence contract.",,
vitamin_d,micellized D3,12,11,-1,Excellent,Good,0,inline PMID/DOI,micellar emulsion; modest improvement over standard D3 in low-fat conditions,"No exact-form, exact-strain, or reviewed class-equivalence source met the Excellent evidence contract.",,
